@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.366885, -0.382314, 0.207429, -0.337499, -0.271646, -0.375244, -1.09073, 1
-0.62808, -0.61203, -0.291948, -0.527088, -0.615822, -0.217618, -1.18636, 1
-0.449367, -0.543115, 0.681415, -0.633167, -0.271646, -0.740378, -0.468119, 1
0.176127, 0.153691, 0.639094, 0.163558, 0.355812, -1.55179, -0.561714, 1
-0.133183, -0.160254, 0.457118, -0.542887, 0.313452, -0.597384, -0.740765, 1
-1.24326, -1.47729, 0.550222, -1.6398, -1.005, -0.951877, -1.43459, 1
-0.287839, -0.206198, -0.359661, -0.044087, -0.266351, -0.986461, -0.561714, 1
1.20716, 1.50136, -1.0918, 2.34158, 0.599382, 0.819922, 2.11591, 2
1.48898, 1.58559, 0.0296845, 1.67124, 1.11829, -0.228259, 1.67032, 2
1.38931, 1.2793, 1.2612, 1.35075, 1.35127, -0.0407041, 1.1352, 2
1.13155, 1.19507, 0.262445, 0.971569, 0.805887, -0.0540059, 1.22676, 2
0.183, 0.077119, 1.18502, -0.342013, 0.546432, -0.0666426, 0.0629294, 2
0.863483, 0.919412, 0.317461, 1.16567, 0.83501, -0.115859, 1.14537, 2
0.25861, 0.421693, -0.550101, 0.459227, 0.072529, -0.648596, 0.699781, 2
-0.903022, -0.948947, -0.245396, -0.913037, -0.772024, 1.17641, -0.380628, 3
-1.27419, -1.35478, -0.643206, -1.39378, -1.23004, 1.78763, -0.730591, 3
-1.22952, -1.21695, -1.23146, -1.21999, -1.31211, 0.404906, -0.83029, 3
-1.39105, -1.52324, -0.507781, -1.46149, -1.15856, 0.713507, -0.702106, 3
-1.23295, -1.18632, -1.5023, -0.998803, -1.45243, 1.08729, -0.643101, 3
-1.38417, -1.32415, -1.92127, -1.01235, -1.66423, 0.766714, -0.649205, 3
-1.03362, -1.03318, -0.79979, -1.02363, -1.11885, -0.0679728, -0.740765, 3
