@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
0.612598, 0.689696, 0.156645, 0.958027, 0.546432, -1.10418, 0.954114, 1
0.220805, 0.291521, 0.0593086, 0.289951, 0.297567, -0.191679, -0.366386, 1
-0.0197697, -0.0300819, 0.46135, -0.188536, 0.0857665, -0.662563, -0.604442, 1
-0.940827, -0.834089, -1.34572, -1.05974, -0.599937, -1.462, -1.80897, 1
-1.17796, -1.30118, -0.114204, -1.40055, -1.08178, -0.665223, -1.62991, 1
-0.174425, -0.14494, 0.0677727, 0.00331029, -0.181631, -1.5877, -0.52509, 1
-0.164114, -0.129626, 0.0677727, -0.134368, -0.279589, -1.48727, -0.21989, 1
0.68477, 0.850497, -0.368125, 0.833891, 0.596734, 0.648329, 0.954114, 2
1.40649, 1.47839, 0.169341, 1.84278, 1.0071, 0.907048, 1.94093, 2
1.80516, 1.86125, 0.152413, 2.14973, 1.39363, -1.16071, 2.11794, 2
1.14186, 1.30227, -0.308876, 1.45006, 0.670865, -0.563464, 1.75984, 2
1.08, 0.995984, 1.19349, 0.590134, 1.15271, -1.08556, 0.872728, 2
0.956276, 0.995984, 0.380942, 0.912886, 0.832362, 0.0311256, 1.05992, 2
0.183, 0.260892, -0.0168676, 0.576592, 0.0248739, 0.506665, 0.787271, 2
-1.39448, -1.24758, -2.55184, -0.703135, -1.61658, 1.17175, -0.435564, 3
-0.793045, -0.680945, -1.20606, -0.400695, -1.005, -0.411159, 0.168732, 3
-1.18484, -1.13272, -1.41766, -1.11165, -1.31211, 1.25556, -0.649205, 3
-0.906459, -0.834089, -1.08757, -0.612854, -0.96794, -1.35625, -0.468119, 3
-1.09892, -1.14038, -0.571261, -1.17485, -1.08178, 1.00349, -0.55561, 3
-1.35324, -1.34712, -1.43036, -1.21999, -1.5451, 0.318444, -0.919816, 3
-0.848034, -0.857061, -0.427373, -0.924322, -0.713779, 1.1784, -0.73873, 3
