@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
0.141759, 0.214949, 6.05E-5, 0.303493, 0.141364, -0.983801, -0.382663, 1
0.0111614, 0.00820415, 0.427494, -0.168223, 0.196962, -1.7839, -0.919816, 1
-0.160678, -0.267455, 1.01998, -0.547401, 0.141364, -0.823514, -0.919816, 1
0.0558395, 0.153691, -0.224236, 0.362175, -0.0360186, -1.26979, -0.828256, 1
-0.260344, -0.114311, -0.765934, 0.19967, -0.192221, 0.146186, -0.221924, 1
0.0902073, -0.0147675, 1.1681, -0.111797, 0.538489, -0.380565, -0.46405, 1
-0.559344, -0.550772, -0.1269, -0.527088, -0.499332, 0.303812, -0.651239, 1
0.677897, 0.727982, 0.321693, 0.876774, 0.602029, 0.202054, 0.880866, 2
0.660713, 0.812211, -0.304644, 0.673643, 0.474949, 0.811275, 0.787271, 2
1.42024, 1.60856, -0.507781, 2.07751, 1.08917, -0.00611946, 2.21764, 2
1.34463, 1.25633, 1.15963, 1.22661, 1.42276, -0.385886, 1.31222, 2
1.36182, 1.32524, 0.829535, 1.45231, 1.15006, -0.30807, 1.31222, 2
1.3412, 1.24101, 1.22311, 1.08893, 1.61602, 0.32443, 1.1881, 2
1.07656, 0.988327, 1.19772, 0.791008, 1.13418, -0.959858, 1.03957, 2
-0.971758, -0.94129, -0.875966, -0.628653, -1.18768, 0.379632, -0.203612, 3
-0.961448, -0.880032, -1.24415, -0.815985, -1.08972, 0.856502, -0.736695, 3
-0.913333, -0.918318, -0.554333, -0.876925, -0.92558, 0.769375, -0.508813, 3
-0.703689, -0.834089, 0.634862, -1.05749, -0.351071, 0.780016, -1.00527, 3
-0.707126, -0.788146, 0.321693, -0.913037, -0.541692, 1.18572, -0.915746, 3
-0.765551, -0.680945, -0.969071, -0.493233, -0.920285, -0.262179, -0.360282, 3
-0.851471, -0.834089, -0.605117, -0.958177, -0.790557, 0.145521, -0.828256, 3
