@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.32908, -0.412942, 0.719503, -0.427779, -0.157804, 0.190082, -1.36337, 1
-0.380632, -0.389971, 0.143949, -0.330728, -0.382841, -0.510922, -1.18636, 1
-0.72431, -0.680945, -0.617813, -0.527088, -0.801147, -0.795581, -1.09683, 1
-0.195046, -0.298084, 0.990352, -0.522574, 0.104299, 1.98516, -0.828256, 1
-0.463114, -0.543115, 0.601006, -0.626396, -0.266351, -0.965178, -0.472188, 1
-0.122873, 0.038833, -0.727846, 0.195156, -0.385489, 0.276544, -0.0245614, 1
-0.710563, -0.757517, 0.0254525, -0.82727, -0.615822, -1.67882, -1.27385, 1
0.849736, 1.03427, -0.469693, 0.982854, 0.382287, 0.0823374, 1.04567, 2
2.0148, 2.04502, 0.224357, 2.14522, 1.47041, 0.499349, 2.12201, 2
1.60239, 1.64685, 0.296301, 1.66447, 1.43599, -0.49097, 1.58079, 2
1.58521, 1.48605, 1.16386, 1.09345, 1.67692, 0.404241, 1.22269, 2
1.40993, 1.42479, 0.50367, 1.39814, 1.31421, -0.220943, 1.50551, 2
1.30683, 1.41713, -0.0507237, 1.48165, 0.88796, 0.459443, 1.41191, 2
0.244862, 0.253235, 0.478278, 0.332834, 0.395524, 0.84586, 0.893074, 2
-0.518103, -0.466543, -0.380821, -0.54063, -0.488742, 1.52625, -0.205647, 3
-1.25014, -1.09443, -2.29792, -0.788901, -1.51333, 1.64197, -0.270756, 3
-0.975195, -0.795803, -1.9509, -0.504518, -1.2777, 2.18934, -0.28093, 3
-1.25701, -1.15569, -1.93397, -0.854355, -1.5451, 1.4052, -0.384698, 3
-1.15391, -1.02552, -1.89165, -0.732476, -1.49215, 1.12254, -0.199543, 3
-1.22952, -1.30118, -0.622045, -1.21322, -1.20357, 0.189417, -0.828256, 3
-0.748367, -0.948947, 1.13001, -1.45472, -0.327244, -0.931259, -1.34913, 3
