@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.346264, -0.4742, 1.0369, -0.687336, 0.318747, -0.958528, -1.22705, 1
-0.0507007, -0.267455, 1.87484, -0.95592, 0.549079, -1.28575, -1.54446, 1
0.46138, 0.45998, 0.58831, 0.461484, 0.429942, -1.86039, -0.205647, 1
-0.253471, -0.290427, 0.465582, -0.197564, -0.0995587, -0.629308, -0.752973, 1
0.320472, 0.268549, 0.901479, 0.102619, 0.464359, 1.25888, -0.553575, 1
-0.177862, -0.213855, 0.512134, -0.281073, -0.157804, -0.247547, -0.374524, 1
0.0627131, 0.161348, -0.220004, 0.165815, -0.123386, -1.17535, 0.0629294, 1
1.33089, 1.24867, 1.13001, 0.851947, 1.58425, 1.07997, 0.958184, 2
2.17633, 2.02971, 1.18079, 2.13167, 2.05021, 1.38325, 1.67439, 2
2.07323, 1.90719, 1.35854, 1.85406, 2.04757, 0.875124, 1.85751, 2
1.36869, 1.32524, 0.876087, 0.921915, 1.39628, -0.762991, 0.958184, 2
1.47179, 1.34056, 1.37546, 1.25144, 1.70339, -1.05829, 1.04974, 2
1.47523, 1.57027, 0.0508446, 1.42297, 1.26655, 1.98316, 1.31222, 2
0.451069, 0.590152, -0.279252, 0.488568, 0.361107, 0.376307, 0.787271, 2
-1.26045, -1.16335, -1.87895, -0.922065, -1.49744, -0.244887, -0.828256, 3
-0.933953, -0.635001, -2.66188, -0.529345, -1.35977, 0.748092, -0.382663, 3
-1.06455, -0.795803, -2.65764, -0.416494, -1.53715, 0.450797, -0.199543, 3
-1.13329, -1.11741, -1.0791, -1.04169, -1.09502, 2.00511, -0.919816, 3
-1.1814, -1.23226, -0.634742, -1.21548, -1.28034, 0.835884, -1.18636, 3
-0.672758, -0.604373, -0.71515, -0.301386, -0.615822, 1.65261, -0.187335, 3
-0.507793, -0.596715, 0.58831, -0.696364, -0.345776, 0.645003, -0.645135, 3
