@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.191609, -0.359342, 1.43894, -0.761817, 0.207552, -0.665888, -1.18636, 1
-0.0541375, -0.0530535, 0.37671, -0.14791, 0.00104639, -0.0759538, -0.384698, 1
0.141759, 0.222606, -0.0591877, 0.192899, -0.0439612, 0.560537, -0.191404, 1
-0.0885053, -0.213855, 1.19772, -0.626396, 0.196962, 0.322435, -1.27588, 1
-0.731183, -0.757517, -0.101508, -0.908523, -0.554929, 0.267232, -1.00527, 1
0.354839, 0.260892, 1.17656, -0.0237739, 0.657627, -1.9521, -0.645135, 1
-0.579965, -0.566087, -0.203076, -0.393924, -0.750844, -1.89225, -0.716349, 1
0.956276, 1.08787, -0.156524, 1.26949, 0.800592, 0.24994, 1.32646, 2
1.17623, 1.1721, 0.677183, 1.22887, 1.03887, -0.836151, 1.60521, 2
1.28621, 1.14147, 1.50666, 0.921915, 1.5922, 1.53024, 0.954114, 2
0.695081, 0.835183, -0.262324, 1.15213, 0.541137, -0.00279401, 1.13723, 2
1.42024, 1.53965, -0.0972758, 1.8518, 0.776765, -1.03501, 2.12608, 2
1.44774, 1.44776, 0.60947, 1.77732, 1.2189, -0.965844, 1.53603, 2
1.18654, 1.01896, 1.6844, 0.791008, 1.31421, -0.574106, 1.12706, 2
-1.03706, -1.01786, -0.90559, -0.825013, -1.10826, 0.994175, -0.205647, 3
-1.20546, -1.29352, -0.482389, -1.29899, -1.08443, -0.23491, -0.824186, 3
-0.944264, -1.07912, 0.351318, -1.18162, -0.840859, -0.997103, -0.716349, 3
-1.20202, -1.10209, -1.77315, -1.02137, -1.56363, 0.423528, -0.561714, 3
-1.26045, -1.40838, -0.1269, -1.39829, -1.18768, 0.233313, -1.18025, 3
-0.738057, -0.880032, 0.694111, -1.00557, -0.443734, 3.16303, -0.83029, 3
-0.913333, -1.04083, 0.308997, -1.1094, -0.734959, -0.0460248, -1.0948, 3
