@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
0.444196, 0.329807, 1.37123, 0.0665066, 0.80324, -1.55977, -0.474223, 1
0.547299, 0.528894, 0.719503, 0.576592, 0.652332, -1.1514, 0.254188, 1
0.289541, 0.146034, 1.4728, -0.229162, 0.67616, -1.39749, -0.736695, 1
0.464816, 0.544209, 0.101629, 0.445685, 0.543784, -0.583417, 0.24198, 1
0.767253, 0.628438, 1.56167, 0.459227, 1.12359, -0.49496, 0.154489, 1
0.00428779, 0.0847763, -0.143828, 0.111647, -0.00160111, -1.04499, -0.116121, 1
-0.854907, -1.04849, 0.901479, -1.24707, -0.573462, -0.319377, -1.63398, 1
1.38587, 1.30227, 1.09615, 1.02799, 1.33804, -1.36423, 1.42616, 2
0.536989, 0.528894, 0.660254, 0.201927, 0.705282, 0.343718, 0.427135, 2
1.27246, 1.27164, 0.656022, 1.18373, 1.09976, -1.30504, 0.988704, 2
1.23809, 1.19507, 0.893015, 1.07991, 1.35127, -0.97449, 0.785237, 2
1.55771, 1.6545, 0.0254525, 1.52228, 1.40952, -0.0147656, 1.13317, 2
0.454506, 0.628438, -0.516245, 0.301236, 0.339927, 0.389609, 0.600082, 2
0.392644, 0.253235, 1.49819, -0.599312, 0.85619, -0.242226, -0.537298, 2
-0.524976, -0.4742, -0.410445, -0.197564, -0.491389, 2.21794, 0.0649641, 3
-0.738057, -0.650316, -0.92675, -0.547401, -0.920285, -0.292773, -0.187335, 3
-0.789609, -0.757517, -0.643206, -0.667023, -0.769377, 0.478066, -0.472188, 3
-0.827413, -0.742202, -1.04948, -0.698621, -0.95735, 0.813936, -0.28093, 3
-1.31544, -1.19398, -2.20482, -0.685079, -1.47626, 2.01841, -0.498639, 3
-1.46322, -1.64575, -0.262324, -1.64657, -1.24857, 0.847855, -1.24943, 3
-1.34637, -1.34712, -1.35418, -1.31479, -1.4339, 1.12919, -0.73873, 3
