@relation seeds
@attribute f1 real [-1.46322, 2.17633]
@attribute f2 real [-1.64575, 2.06034]
@attribute f3 real [-2.66188, 2.0018]
@attribute f4 real [-1.64657, 2.36189]
@attribute f5 real [-1.66423, 2.05021]
@attribute f6 real [-1.9521, 3.16303]
@attribute f7 real [-1.80897, 2.32345]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.280965, -0.305741, 0.364014, -0.430036, -0.152509, -1.31901, -0.828256, 1
-0.253471, -0.229169, 0.0508446, -0.244961, -0.239876, -0.673204, -0.384698, 1
-0.480298, -0.412942, -0.448533, -0.253989, -0.512569, -0.112534, -0.632927, 1
0.0695866, 0.0924335, 0.292069, 0.188385, 0.183724, -1.04499, -0.0978094, 1
0.0489659, 5.46944E-4, 0.732199, -0.13211, 0.313452, -0.49363, -0.474223, 1
-0.112563, 0.0311758, -0.647438, 0.253839, -0.385489, -1.47597, 0.160593, 1
-0.727747, -0.619687, -1.06641, -0.488719, -0.997062, -0.111204, -0.693967, 1
1.46492, 1.30227, 1.57014, 1.18599, 1.77752, -0.508262, 1.36512, 2
1.62301, 1.66982, 0.292069, 1.7051, 1.35922, -1.48195, 1.75984, 2
1.33089, 1.36353, 0.423262, 1.33269, 1.12624, -1.00575, 1.40174, 2
1.75017, 1.80765, 0.177805, 2.36189, 1.33539, -0.298094, 2.32345, 2
1.85328, 1.79999, 0.791447, 1.54936, 1.86224, 1.46373, 1.5869, 2
0.928782, 0.84284, 1.18926, 0.366689, 1.14212, 1.10791, 0.514626, 2
0.475127, 0.475294, 0.592542, 0.549507, 0.564964, 0.0457575, 1.04567, 2
-0.810229, -0.841746, -0.220004, -0.815985, -0.772024, 0.479396, -0.826221, 3
-0.889275, -0.734545, -1.59541, -0.497747, -1.12679, 0.702201, -0.0978094, 3
-1.15734, -1.15569, -1.00293, -1.01235, -1.32535, 1.4471, -0.826221, 3
-1.04393, -0.849403, -2.16673, -0.486462, -1.43655, 0.796644, -0.114087, 3
-1.24326, -1.33181, -0.490853, -1.21773, -1.15856, 2.54317, -0.917781, 3
-1.02331, -1.17866, 0.359782, -1.12068, -0.809089, -0.0686379, -0.561714, 3
-0.875528, -0.933633, -0.109972, -0.870154, -0.753492, 1.28814, -0.702106, 3
