@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, 0.198895, -0.726939, -2.35125, -0.842854, 3
-2.04427, 1.22442, -0.726939, -2.35125, 2.33698, 3
0.485933, 0.638406, 1.83573, 0.42249, 0.0878293, 3
0.485933, 1.66393, -0.157456, 0.42249, -0.0672845, 2
0.485933, 1.22442, -0.726939, 0.42249, 0.0102724, 1
0.485933, 1.66393, -0.157456, 0.42249, -0.0672845, 2
0.485933, 0.198895, 0.696768, 0.42249, 0.708285, 2
0.485933, 0.345399, 1.55099, 0.42249, -1.30819, 3
0.485933, -0.973132, 0.412027, -2.35125, -0.610183, 3
-2.04427, -1.11964, 1.26625, 0.42249, 0.553171, 2
0.485933, -0.826629, -0.157456, 0.42249, -0.377512, 1
0.485933, 0.198895, -1.01168, 0.42249, -0.68774, 1
0.485933, 1.51743, 2.54759, 0.42249, -0.532626, 2
0.485933, 0.784909, -0.584569, 0.42249, -1.38575, 1
0.485933, -0.533622, -0.726939, 0.42249, -1.23064, 1
