@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, -0.973132, 0.412027, 0.42249, 2.10431, 3
0.485933, -1.11964, 1.26625, 0.42249, 1.09607, 2
0.485933, 0.198895, 0.696768, 0.42249, 0.708285, 2
0.485933, 0.638406, -0.442198, 0.42249, -0.68774, 1
0.485933, -0.0941115, -1.01168, 0.42249, 0.242943, 1
-2.04427, -0.0941115, -0.726939, -2.35125, -1.15308, 1
0.485933, -0.0941115, -1.01168, 0.42249, 0.165386, 3
0.485933, 1.66393, -0.157456, 0.42249, -0.377512, 2
0.485933, -0.826629, -0.726939, 0.42249, -0.299955, 2
-2.04427, 1.37092, -0.726939, -2.35125, -0.222398, 3
0.485933, -0.0941115, -0.726939, -2.35125, -1.30819, 3
0.485933, -0.0941115, -1.01168, 0.42249, -0.610183, 2
-2.04427, -0.533622, -0.726939, 0.42249, -0.532626, 3
0.485933, 0.491902, 1.40862, 0.42249, 0.0878293, 1
0.485933, -1.55915, -0.86931, 0.42249, -0.144841, 1
