@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
-2.04427, 1.37092, -0.726939, -2.35125, -0.68774, 3
0.485933, -0.0941115, -1.01168, 0.42249, 0.165386, 3
0.485933, -1.11964, 1.26625, 0.42249, 1.17363, 2
0.485933, 1.22442, -0.726939, 0.42249, 1.4063, 2
0.485933, -0.387118, -1.01168, 0.42249, 1.79408, 1
0.485933, -1.41264, 1.12388, 0.42249, -0.532626, 1
0.485933, -0.533622, -0.726939, 0.42249, -0.0672845, 3
0.485933, 1.22442, -0.726939, 0.42249, 1.4063, 2
0.485933, 1.07792, -0.86931, 0.42249, 1.09607, 1
0.485933, 0.052392, 0.98151, 0.42249, 0.785841, 1
0.485933, -0.680125, -0.86931, 0.42249, 0.863398, 3
0.485933, -0.680125, -0.86931, 0.42249, -1.07552, 2
-2.04427, -0.0941115, -1.01168, 0.42249, 2.02675, 3
0.485933, 0.931413, -0.86931, 0.42249, 1.32874, 3
0.485933, -0.680125, -0.299827, 0.42249, -1.77354, 2
-2.04427, 0.638406, -0.157456, 0.42249, 1.56141, 1
