@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, -0.533622, -0.726939, 0.42249, -0.0672845, 3
0.485933, -0.973132, 2.40522, 0.42249, 1.09607, 2
0.485933, -1.85215, 0.98151, -2.35125, -0.455069, 2
0.485933, 1.07792, -0.86931, 0.42249, 1.09607, 1
0.485933, 0.198895, -0.726939, -2.35125, -0.842854, 3
0.485933, 1.37092, -0.726939, -2.35125, -0.610183, 3
0.485933, 0.052392, 0.98151, 0.42249, 0.785841, 2
0.485933, -0.0941115, -1.01168, 0.42249, 0.242943, 1
0.485933, 1.37092, -0.726939, -2.35125, -0.610183, 3
0.485933, 0.638406, 2.40522, 0.42249, -0.222398, 3
-2.04427, 1.22442, 0.696768, 0.42249, -0.0672845, 2
0.485933, -0.533622, -0.726939, 0.42249, -0.68774, 1
0.485933, 0.198895, -1.01168, 0.42249, 2.95743, 1
0.485933, 0.638406, 0.554397, 0.42249, -0.92041, 2
0.485933, -0.533622, -0.726939, 0.42249, -0.68774, 1
