@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, -0.973132, 0.412027, 0.42249, -1.38575, 2
0.485933, -1.70565, 0.127285, 0.42249, 0.242943, 2
0.485933, -0.973132, 0.412027, 0.42249, -1.15308, 2
0.485933, 0.052392, 0.98151, 0.42249, 0.785841, 1
-2.04427, 1.37092, -0.726939, 0.42249, 1.63897, 3
-2.04427, 1.22442, -0.726939, 0.42249, 2.33698, 3
0.485933, 0.198895, -0.726939, -2.35125, -0.610183, 3
0.485933, -1.11964, 1.26625, 0.42249, 1.17363, 2
0.485933, -0.680125, -0.442198, 0.42249, -0.299955, 3
-2.04427, 0.491902, 1.26625, 0.42249, 0.242943, 3
0.485933, 0.931413, -0.86931, 0.42249, -1.07552, 1
-2.04427, 1.37092, -0.726939, 0.42249, 0.785841, 1
0.485933, -0.0941115, -1.01168, 0.42249, 0.0878293, 1
0.485933, -1.70565, 0.127285, 0.42249, 0.0878293, 1
0.485933, 0.931413, 0.98151, 0.42249, -0.765297, 2
