@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
-2.04427, 1.37092, -0.726939, 0.42249, 1.63897, 3
0.485933, 0.198895, -0.726939, -2.35125, -0.610183, 3
0.485933, -1.26614, -0.86931, 0.42249, 0.708285, 1
0.485933, -0.973132, 0.412027, 0.42249, 2.10431, 3
0.485933, -0.973132, 0.412027, 0.42249, -1.38575, 2
0.485933, -0.973132, 2.40522, 0.42249, 1.09607, 2
-2.04427, -0.0941115, -0.726939, -2.35125, -0.842854, 3
0.485933, 0.052392, 1.97811, 0.42249, -0.842854, 3
0.485933, 1.37092, -0.726939, 0.42249, -1.38575, 2
0.485933, 1.37092, -0.726939, 0.42249, -1.23064, 1
0.485933, -0.680125, 2.26285, 0.42249, -0.610183, 2
0.485933, 1.22442, -1.01168, 0.42249, 1.09607, 2
0.485933, -1.55915, -0.86931, 0.42249, 0.708285, 1
0.485933, 1.22442, -1.01168, 0.42249, 1.79408, 1
0.485933, -1.70565, 0.269656, 0.42249, -0.0672845, 1
