@relation teaching
@attribute f1 real [-2.04427, 0.485933]
@attribute f2 real [-1.85215, 1.66393]
@attribute f3 real [-1.01168, 2.54759]
@attribute f4 real [-2.35125, 0.42249]
@attribute f5 real [-1.92865, 2.95743]
@attribute clase {1, 2, 3}
@inputs f1, f2, f3, f4, f5
@outputs clase
@data
0.485933, 1.37092, -0.726939, -2.35125, -0.610183, 3
0.485933, -0.826629, -0.726939, 0.42249, -0.299955, 2
0.485933, 0.345399, -0.0150856, 0.42249, 0.630728, 1
0.485933, -0.533622, 1.97811, 0.42249, -1.46331, 3
0.485933, -1.11964, 1.26625, 0.42249, 1.09607, 2
0.485933, 1.22442, -0.726939, 0.42249, 0.0102724, 1
0.485933, -0.387118, -1.01168, 0.42249, 1.79408, 1
0.485933, 0.638406, 1.83573, 0.42249, -0.68774, 3
-2.04427, 1.37092, -0.726939, 0.42249, 0.785841, 3
0.485933, -1.85215, 0.98151, 0.42249, 0.242943, 3
-2.04427, 1.22442, -0.726939, 0.42249, -0.997967, 2
0.485933, 0.931413, -0.86931, 0.42249, -0.222398, 2
0.485933, -0.826629, -0.726939, 0.42249, -0.0672845, 1
0.485933, -0.240615, -0.157456, 0.42249, 0.475614, 1
0.485933, 1.22442, -1.01168, 0.42249, -1.30819, 2
