@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
458.0, 441.0, 50.0, 67.0, 17.0, 23.0, 1.0, 391.0, 1
875.0, 862.0, 95.0, 108.0, 32.0, 21.0, 1.0, 767.0, 1
1026.0, 1046.0, 109.0, 89.0, 26.0, 17.0, 2.0, 937.0, 1
22.0, 22.0, 2.0, 2.0, 1.0, 17.0, 1.0, 20.0, 1
30.0, 29.0, 6.0, 7.0, 3.0, 36.0, 1.0, 23.0, 1
781.0, 798.0, 72.0, 55.0, 21.0, 15.0, 1.0, 726.0, 1
489.0, 482.0, 48.0, 55.0, 13.0, 19.0, 1.0, 434.0, 1
1347.0, 1399.0, 130.0, 78.0, 25.0, 14.0, 1.0, 1269.0, 1
1267.0, 1278.0, 145.0, 134.0, 31.0, 20.0, 1.0, 1133.0, 1
533.0, 544.0, 108.0, 97.0, 17.0, 32.0, 2.0, 436.0, 1
1854.0, 1861.0, 261.0, 254.0, 64.0, 24.0, 2.0, 1600.0, 1
910.0, 984.0, 205.0, 131.0, 36.0, 30.0, 2.0, 779.0, 1
992.0, 1003.0, 187.0, 176.0, 34.0, 31.0, 2.0, 816.0, 2
