@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
1349.0, 1410.0, 330.0, 269.0, 87.0, 36.0, 1.0, 1080.0, 1
2017.0, 2058.0, 227.0, 186.0, 53.0, 18.0, 1.0, 1831.0, 1
301.0, 306.0, 44.0, 39.0, 11.0, 24.0, 1.0, 262.0, 1
96.0, 95.0, 6.0, 7.0, 2.0, 13.0, 1.0, 89.0, 1
2640.0, 2610.0, 78.0, 108.0, 27.0, 7.0, 1.0, 2532.0, 1
2005.0, 2180.0, 504.0, 329.0, 63.0, 33.0, 1.0, 1676.0, 1
1324.0, 1254.0, 524.0, 594.0, 42.0, 60.0, 1.0, 730.0, 1
398.0, 412.0, 102.0, 88.0, 15.0, 38.0, 1.0, 310.0, 1
73.0, 72.0, 7.0, 8.0, 2.0, 19.0, 2.0, 65.0, 1
620.0, 611.0, 68.0, 77.0, 21.0, 21.0, 2.0, 543.0, 1
844.0, 869.0, 152.0, 127.0, 38.0, 28.0, 2.0, 717.0, 2
126.0, 124.0, 11.0, 13.0, 3.0, 18.0, 2.0, 113.0, 1
483.0, 459.0, 87.0, 111.0, 21.0, 35.0, 2.0, 372.0, 1
