@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
2728.0, 2757.0, 73.0, 44.0, 22.0, 4.0, 1.0, 2684.0, 1
817.0, 761.0, 128.0, 184.0, 28.0, 33.0, 1.0, 633.0, 1
20.0, 20.0, 2.0, 2.0, 1.0, 18.0, 1.0, 18.0, 1
1077.0, 1069.0, 38.0, 46.0, 13.0, 8.0, 1.0, 1031.0, 1
615.0, 618.0, 29.0, 26.0, 5.0, 9.0, 1.0, 589.0, 1
500.0, 528.0, 97.0, 69.0, 18.0, 28.0, 1.0, 431.0, 1
473.0, 480.0, 36.0, 29.0, 8.0, 13.0, 1.0, 444.0, 1
1219.0, 1224.0, 113.0, 108.0, 40.0, 17.0, 1.0, 1111.0, 1
3673.0, 3767.0, 497.0, 403.0, 96.0, 22.0, 1.0, 3270.0, 2
397.0, 387.0, 35.0, 45.0, 10.0, 19.0, 2.0, 352.0, 1
136.0, 133.0, 11.0, 14.0, 4.0, 17.0, 2.0, 122.0, 1
495.0, 506.0, 116.0, 105.0, 29.0, 36.0, 2.0, 390.0, 1
70.0, 68.0, 10.0, 12.0, 3.0, 28.0, 2.0, 58.0, 1
