@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
127.0, 126.0, 6.0, 7.0, 2.0, 10.0, 1.0, 120.0, 1
182.0, 178.0, 10.0, 14.0, 3.0, 13.0, 1.0, 168.0, 1
2924.0, 2923.0, 219.0, 220.0, 58.0, 14.0, 1.0, 2704.0, 1
758.0, 751.0, 51.0, 58.0, 12.0, 13.0, 1.0, 700.0, 1
1834.0, 1786.0, 229.0, 277.0, 75.0, 25.0, 1.0, 1557.0, 1
2232.0, 2187.0, 235.0, 280.0, 66.0, 21.0, 2.0, 1952.0, 1
1793.0, 1813.0, 336.0, 316.0, 52.0, 31.0, 2.0, 1477.0, 1
50.0, 44.0, 18.0, 24.0, 3.0, 62.0, 1.0, 26.0, 1
145.0, 140.0, 11.0, 16.0, 4.0, 17.0, 1.0, 129.0, 1
175.0, 172.0, 13.0, 16.0, 4.0, 15.0, 2.0, 159.0, 1
1402.0, 1482.0, 284.0, 204.0, 60.0, 29.0, 2.0, 1198.0, 1
207.0, 199.0, 34.0, 42.0, 9.0, 32.0, 2.0, 165.0, 1
2494.0, 2721.0, 479.0, 252.0, 95.0, 25.0, 2.0, 2242.0, 2
