107.0, 104.0, 11.0, 14.0, 4.0, 21.0, 1.0, 93.0, 1
1441.0, 1378.0, 107.0, 170.0, 39.0, 18.0, 2.0, 1271.0, 1
34.0, 33.0, 6.0, 7.0, 2.0, 33.0, 1.0, 27.0, 1
5408.0, 5336.0, 411.0, 483.0, 95.0, 15.0, 1.0, 4925.0, 1
508.0, 487.0, 66.0, 87.0, 23.0, 27.0, 2.0, 421.0, 1
1041.0, 1020.0, 101.0, 122.0, 30.0, 20.0, 1.0, 919.0, 1
253.0, 273.0, 51.0, 31.0, 10.0, 27.0, 2.0, 222.0, 1
354.0, 398.0, 103.0, 59.0, 32.0, 35.0, 2.0, 295.0, 1
259.0, 257.0, 19.0, 21.0, 8.0, 14.0, 2.0, 238.0, 1
249.0, 346.0, 213.0, 116.0, 20.0, 71.0, 2.0, 133.0, 2
467.0, 463.0, 46.0, 50.0, 10.0, 19.0, 2.0, 417.0, 1
392.0, 400.0, 43.0, 35.0, 6.0, 18.0, 2.0, 357.0, 1
2358.0, 2394.0, 360.0, 324.0, 80.0, 25.0, 2.0, 2034.0, 2
