677.0, 704.0, 92.0, 65.0, 27.0, 20.0, 1.0, 612.0, 1
518.0, 571.0, 147.0, 94.0, 19.0, 36.0, 2.0, 424.0, 2
189.0, 201.0, 53.0, 41.0, 9.0, 39.0, 1.0, 148.0, 1
1666.0, 1675.0, 33.0, 24.0, 9.0, 3.0, 1.0, 1642.0, 1
694.0, 736.0, 174.0, 132.0, 26.0, 35.0, 1.0, 562.0, 1
318.0, 302.0, 47.0, 63.0, 11.0, 30.0, 2.0, 255.0, 1
548.0, 620.0, 126.0, 54.0, 21.0, 27.0, 2.0, 494.0, 1
1078.0, 1086.0, 103.0, 95.0, 25.0, 17.0, 2.0, 983.0, 1
252.0, 240.0, 32.0, 44.0, 10.0, 27.0, 2.0, 208.0, 1
278.0, 267.0, 37.0, 48.0, 10.0, 27.0, 2.0, 230.0, 1
1000.0, 986.0, 157.0, 171.0, 31.0, 28.0, 2.0, 829.0, 1
1865.0, 1804.0, 199.0, 260.0, 55.0, 22.0, 2.0, 1605.0, 1
988.0, 994.0, 151.0, 145.0, 29.0, 26.0, 2.0, 843.0, 1
