@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
816.0, 800.0, 80.0, 96.0, 26.0, 20.0, 1.0, 720.0, 1
685.0, 669.0, 64.0, 84.0, 22.0, 20.0, 1.0, 601.0, 1
409.0, 414.0, 44.0, 39.0, 13.0, 18.0, 1.0, 370.0, 1
182.0, 178.0, 14.0, 18.0, 5.0, 16.0, 1.0, 164.0, 1
493.0, 466.0, 88.0, 115.0, 35.0, 35.0, 2.0, 378.0, 1
226.0, 267.0, 76.0, 35.0, 10.0, 37.0, 1.0, 191.0, 1
988.0, 988.0, 2.0, 2.0, 1.0, 0.0, 1.0, 986.0, 1
893.0, 896.0, 5.0, 2.0, 4.0, 1.0, 1.0, 891.0, 1
989.0, 1113.0, 248.0, 124.0, 42.0, 30.0, 2.0, 865.0, 1
56.0, 66.0, 26.0, 16.0, 5.0, 51.0, 2.0, 40.0, 2
481.0, 480.0, 56.0, 57.0, 11.0, 21.0, 2.0, 424.0, 1
1396.0, 1401.0, 184.0, 179.0, 36.0, 23.0, 2.0, 1217.0, 1
313.0, 312.0, 52.0, 53.0, 13.0, 29.0, 2.0, 260.0, 1
