@relation .aatrieveatrieve
@attribute LOC6_0 real [15.0, 5408.0]
@attribute LOC6_1 real [15.0, 5336.0]
@attribute Added_LoC real [2.0, 524.0]
@attribute Del_LoC real [2.0, 594.0]
@attribute Diff_Block real [1.0, 96.0]
@attribute Mod_Rate real [0.0, 78.0]
@attribute Mod_Know real [1.0, 2.0]
@attribute ReusedLoC real [12.0, 4925.0]
@attribute class {1, 2}
@inputs LOC6_0, LOC6_1, Added_LoC, Del_LoC, Diff_Block, Mod_Rate, Mod_Know, ReusedLoC
@outputs class
@data
1851.0, 1834.0, 363.0, 380.0, 65.0, 34.0, 1.0, 1471.0, 1
2218.0, 2198.0, 251.0, 271.0, 55.0, 21.0, 2.0, 1947.0, 1
878.0, 868.0, 113.0, 123.0, 24.0, 24.0, 1.0, 755.0, 1
99.0, 98.0, 5.0, 6.0, 2.0, 11.0, 1.0, 93.0, 1
866.0, 858.0, 60.0, 68.0, 18.0, 14.0, 1.0, 798.0, 1
161.0, 402.0, 300.0, 59.0, 16.0, 78.0, 2.0, 102.0, 1
148.0, 220.0, 113.0, 41.0, 18.0, 59.0, 1.0, 107.0, 1
627.0, 605.0, 36.0, 58.0, 12.0, 14.0, 2.0, 569.0, 2
977.0, 975.0, 156.0, 158.0, 26.0, 28.0, 1.0, 819.0, 1
160.0, 149.0, 38.0, 49.0, 13.0, 44.0, 2.0, 111.0, 1
2338.0, 2425.0, 349.0, 262.0, 70.0, 23.0, 2.0, 2076.0, 1
1624.0, 1629.0, 190.0, 185.0, 51.0, 21.0, 2.0, 1439.0, 1
354.0, 361.0, 57.0, 50.0, 10.0, 26.0, 2.0, 304.0, 1
