@relation pittsburg-bridges-t-or-d
@attribute f1 real [-2.15326, 1.86441]
@attribute f2 real [-1.86663, 1.90546]
@attribute f3 real [-1.75169, 1.43889]
@attribute f4 real [-4.15618, 0.679528]
@attribute f5 real [-1.51403, 1.32826]
@attribute f6 real [-1.70573, 3.0393]
@attribute f7 real [-3.41674, 0.589094]
@attribute clase {1, 2}
@inputs f1, f2, f3, f4, f5, f6, f7
@outputs clase
@data
-0.814039, -0.0531251, -1.75169, 0.679528, 0.380829, -0.124053, -1.41382, 1
0.525186, -1.64901, -0.688166, 0.679528, 0.380829, -0.124053, 0.589094, 1
0.525186, -0.488367, -0.688166, 0.679528, 0.380829, -1.70573, 0.589094, 1
0.525186, -0.560907, 0.375363, -0.932376, 0.380829, -0.124053, 0.589094, 1
0.525186, -1.06869, 0.375363, 0.679528, -1.51403, -0.124053, 0.589094, 1
1.86441, 1.68784, 0.375363, -0.932376, 0.380829, -0.124053, 0.589094, 1
-0.814039, 0.237036, 0.375363, 0.679528, -0.5666, 1.45762, 0.589094, 1
-0.814039, 0.454657, 0.375363, 0.679528, 1.32826, 1.45762, 0.589094, 1
0.525186, -1.06869, 0.375363, 0.679528, 0.380829, 1.45762, -1.41382, 2
0.525186, -0.270746, 1.43889, 0.679528, -0.5666, 1.45762, 0.589094, 1
